"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2309-NODE/1872002938","","Marina 2","35.761213","-5.34849","","","0","","","","0","",""
"2309-NODE/8191086267","","Dar Takafa","35.57053","-5.383038","","","0","","","","0","",""
"2309-NODE/8193863893","","Diour Lahjar","35.573504","-5.379584","","","0","","","","0","",""
"2309-NODE/8193863895","","Souk El Fahm","35.574426","-5.383345","","","0","","","","0","",""
"2309-NODE/8193863894","","Abdelkrim El Khattabi - Poste Maroc","35.574612","-5.381365","","","0","","","","0","",""
"2309-NODE/8193863897","","Cafe Terasa","35.574661","-5.389826","","","0","","","","0","",""
"2309-NODE/8193863896","","Cinéma Victoria","35.574332","-5.386566","","","0","","","","0","",""
"2309-NODE/8193863899","","Palais Essalam","35.575256","-5.39381","","","0","","","","0","",""
"2309-NODE/8193863898","","Snack Loujdi","35.574949","-5.391304","","","0","","","","0","",""
"2309-NODE/8241120138","","Lotissement Wikaya","35.555312","-5.401269","","","0","","","","0","",""
"2309-NODE/8191186415","","Ecole Chouhadae","35.569965","-5.39938","","","0","","","","0","",""
"2309-NODE/8191186414","","Bni Khanous 1","35.571276","-5.400079","","","0","","","","0","",""
"2309-NODE/8191186416","","Pharmacie 2000","35.570254","-5.40165","","","0","","","","0","",""
"2309-NODE/8191186411","","Résidence Jardin Taboula","35.574707","-5.405168","","","0","","","","0","",""
"2309-NODE/8191186413","","Bni Khanous 2","35.572852","-5.401154","","","0","","","","0","",""
"2309-NODE/6898280314","","Rwida","35.604736","-5.484145","","","0","","","","0","",""
"2309-NODE/2134361984","","Gorna","35.676779","-5.321396","","","0","","","","0","",""
"2309-NODE/8196161705","","Faculté Des Sciences","35.562623","-5.363179","","","0","","","","0","",""
"2309-NODE/8196766611","","Zouada","35.632402","-5.500971","","","0","","","","0","",""
"2309-NODE/8196161707","","Abdellah El Fakhar - Afriquia","35.56476","-5.352418","","","0","","","","0","",""
"2309-NODE/8196909141","","Lafarge","35.597102","-5.430469","","","0","","","","0","",""
"2309-NODE/8196909140","","Seddina","35.620358","-5.452765","","","0","","","","0","",""
"2309-NODE/8196909143","","Gorna Abattoirs","35.570389","-5.404155","","","0","","","","0","",""
"2309-NODE/8196909142","","Orangina","35.5726","-5.404754","","","0","","","","0","",""
"2309-NODE/6898570087","","Koudia","35.566595","-5.401635","","","0","","","","0","",""
"2309-NODE/6898570089","","Dar Takafa","35.57058","-5.383003","","","0","","","","0","",""
"2309-NODE/8171402876","","Tamernout","35.519675","-5.176646","","","0","","","","0","",""
"2309-NODE/8171402877","","Soussi","35.562943","-5.428942","","","0","","","","0","",""
"2309-NODE/8171402874","","Prison Locale","35.567301","-5.421858","","","0","","","","0","",""
"2309-NODE/8171402875","","Piste Lawta","35.583677","-5.470453","","","0","","","","0","",""
"2309-NODE/8191229017","","Résidence Yassmine","35.568348","-5.402244","","","0","","","","0","",""
"2309-NODE/8171402878","","Tamgart","35.482682","-5.124549","","","0","","","","0","",""
"2309-NODE/8171402879","","Riyasna","35.43626","-5.108442","","","0","","","","0","",""
"2309-NODE/6898280222","","Marché De Gros","35.565183","-5.397679","","","0","","","","0","",""
"2309-NODE/8191355105","","Ecole Omar Ibn Abdelaziz","35.576503","-5.350236","","","0","","","","0","",""
"2309-NODE/6898503606","","Seddina","35.620427","-5.452721","","","0","","","","0","",""
"2309-NODE/8191149533","","Torreta","35.569535","-5.420415","","","0","","","","0","",""
"2309-NODE/6904096997","","Mosquée Mohammed Vi","35.58744","-5.337648","","","0","","","","0","",""
"2309-NODE/8191149531","","Nassim","35.571561","-5.418817","","","0","","","","0","",""
"2309-NODE/6898562582","","Résidence Jardin Taboula","35.574739","-5.405158","","","0","","","","0","",""
"2309-NODE/8191149535","","Louziyen","35.565049","-5.421433","","","0","","","","0","",""
"2309-NODE/8191149534","","Prison Locale","35.567285","-5.421844","","","0","","","","0","",""
"2309-NODE/6900310858","","Mohamed Al Kharaz 3","35.581585","-5.35612","","","0","","","","0","",""
"2309-NODE/6900317732","","R'Milat","35.62074","-5.329086","","","0","","","","0","",""
"2309-NODE/8196697922","","Abita","35.487865","-5.135481","","","0","","","","0","",""
"2309-NODE/6906735263","","Abattoirs","35.567302","-5.406294","","","0","","","","0","",""
"2309-NODE/8171441756","","Mrija","35.408858","-5.379389","","","0","","","","0","",""
"2309-NODE/8171441757","","Aboudi","35.49717","-5.43449","","","0","","","","0","",""
"2309-NODE/8171441754","","Cnss","35.574726","-5.34503","","","0","","","","0","",""
"2309-NODE/8171441755","","Bounazzal 1","35.590947","-5.475114","","","0","","","","0","",""
"2309-NODE/8171441752","","Sidi Abdeslam","35.572269","-5.263645","","","0","","","","0","",""
"2309-NODE/8171441753","","Mosquée Ben Aboud","35.58079","-5.364004","","","0","","","","0","",""
"2309-NODE/8171441750","","El Amin","35.795942","-5.356136","","","0","","","","0","",""
"2309-NODE/8171441751","","Faculté De Lettres","35.609726","-5.293906","","","0","","","","0","",""
"2309-NODE/8197552106","","Holiday","35.698887","-5.33162","","","0","","","","0","",""
"2309-NODE/8197552107","","Kabila","35.719929","-5.338139","","","0","","","","0","",""
"2309-NODE/8171441758","","Ben Dakoo","35.491558","-5.423818","","","0","","","","0","",""
